SimID, EventID, SimTime, SysTime, EventType, NodeID, ObjectID, Info
118,-1,4950174,-1,Attack is Starting,30,-1,Power: 5.2980626E11
119,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 3.059731E10
119,-1,5096687,-1,Attack is Starting,30,-1,Power: 5.578557E11
119,-1,7211180,-1,Releasing chain,30,-1,Lenght: 7
120,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 2.9988303E10
120,-1,4322332,-1,Attack is Starting,30,-1,Power: 5.2204844E11
120,-1,14617865,-1,Releasing chain,30,-1,Lenght: 14
121,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 3.0032216E10
121,-1,5379121,-1,Attack is Starting,30,-1,Power: 5.3853435E11
122,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 3.3406085E10
122,-1,6086165,-1,Attack is Starting,30,-1,Power: 5.3295867E11
123,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.9509642E10
123,-1,4268501,-1,Attack is Starting,30,-1,Power: 5.4280634E11
124,-1,1191600000,-1,Going into Monitoring,30,-1,Power: 2.9717735E10
124,-1,4874087,-1,Attack is Starting,30,-1,Power: 5.423505E11
125,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.9081584E10
125,-1,4851911,-1,Attacker Receiving Target Transaction (Tx kept),30,-1,Power: 2.9081584E10
125,-1,4931597,-1,Attack is Starting,30,-1,Power: 5.269133E11
126,-1,1191600000,-1,Going into Monitoring,30,-1,Power: 3.0401337E10
126,-1,5781544,-1,Attack is Starting,30,-1,Power: 5.3088302E11
127,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 3.2653046E10
127,-1,3977127,-1,Attack is Starting,30,-1,Power: 5.338619E11
128,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.9680652E10
128,-1,4641651,-1,Attack is Starting,30,-1,Power: 5.310823E11
129,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.7559387E10
129,-1,5582950,-1,Attack is Starting,30,-1,Power: 5.4102603E11
130,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 2.805871E10
130,-1,3667293,-1,Attack is Starting,30,-1,Power: 5.5510755E11
131,-1,1191600000,-1,Going into Monitoring,30,-1,Power: 2.9518504E10
131,-1,4411654,-1,Attack is Starting,30,-1,Power: 5.4066292E11
132,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 2.9493107E10
132,-1,4859867,-1,Attack is Starting,30,-1,Power: 5.393218E11
133,-1,1188000000,-1,Going into Monitoring,30,-1,Power: 2.8902136E10
133,-1,5628108,-1,Attack is Starting,30,-1,Power: 5.3074723E11
133,-1,9320005,-1,Releasing chain,30,-1,Lenght: 9
134,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.5430548E10
134,-1,4809655,-1,Attack is Starting,30,-1,Power: 5.362721E11
135,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 3.202773E10
135,-1,4255033,-1,Attack is Starting,30,-1,Power: 5.2877774E11
135,-1,9128023,-1,Releasing chain,30,-1,Lenght: 7
136,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 2.443386E10
136,-1,4924233,-1,Attack is Starting,30,-1,Power: 5.4063215E11
137,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 2.8540944E10
137,-1,5229553,-1,Attack is Starting,30,-1,Power: 5.165643E11
138,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 2.5774057E10
138,-1,4419208,-1,Attack is Starting,30,-1,Power: 5.448879E11
138,-1,15954369,-1,Releasing chain,30,-1,Lenght: 20
139,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 3.2055032E10
139,-1,4886531,-1,Attack is Starting,30,-1,Power: 5.4361666E11
139,-1,7277726,-1,Releasing chain,30,-1,Lenght: 7
140,-1,1191600000,-1,Going into Monitoring,30,-1,Power: 2.9375482E10
140,-1,4727295,-1,Attack is Starting,30,-1,Power: 5.3123842E11
141,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.7598588E10
141,-1,3906131,-1,Attack is Starting,30,-1,Power: 5.375256E11
142,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 3.3240265E10
142,-1,4831616,-1,Attack is Starting,30,-1,Power: 5.2351045E11
143,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 3.837843E10
143,-1,4925130,-1,Attack is Starting,30,-1,Power: 5.3055203E11
144,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 2.999964E10
144,-1,4363537,-1,Attack is Starting,30,-1,Power: 5.3848415E11
145,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 2.5175124E10
145,-1,5127796,-1,Attack is Starting,30,-1,Power: 5.2724675E11
146,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 2.7521294E10
146,-1,4164453,-1,Attack is Starting,30,-1,Power: 5.4979586E11
147,-1,1191600000,-1,Going into Monitoring,30,-1,Power: 2.6848207E10
147,-1,4018699,-1,Attack is Starting,30,-1,Power: 5.5980727E11
148,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 2.7973233E10
148,-1,5657927,-1,Attack is Starting,30,-1,Power: 5.378145E11
149,-1,1195200000,-1,Going into Monitoring,30,-1,Power: 3.5391713E10
149,-1,6023977,-1,Attack is Starting,30,-1,Power: 5.254811E11
150,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 3.015832E10
150,-1,4572839,-1,Attack is Starting,30,-1,Power: 5.2569748E11
150,-1,10965063,-1,Releasing chain,30,-1,Lenght: 10
151,-1,1198800000,-1,Going into Monitoring,30,-1,Power: 3.0633861E10
151,-1,5602235,-1,Attack is Starting,30,-1,Power: 5.2951486E11
151,-1,23419524,-1,Releasing chain,30,-1,Lenght: 26
152,-1,1202400000,-1,Going into Monitoring,30,-1,Power: 3.042963E10
