SimID, TxID, Size, Value, NodeID, ArrivalTime, ConflictID, DependencyIDs
35,70,4104.0,4196.9385,27,4363787,-1,-1
35,80,4560.0,3656.9739,22,5046170,-1,-1
35,90,5221.0,3772.5376,9,5484264,-1,-1
36,50,4258.0,3341.718,28,2586230,-1,-1
36,60,4663.0,3822.2927,30,3233736,-1,-1
36,70,4733.0,3435.58,17,3729744,-1,-1
36,80,5787.0,3074.6155,17,4218798,-1,-1
36,90,5581.0,3521.5603,29,5037772,-1,-1
37,50,4831.0,4041.199,14,4029478,-1,-1
37,60,5722.0,3759.7312,18,4494182,-1,-1
37,70,5342.0,3546.3796,23,5282897,-1,-1
37,80,5143.0,3170.7534,12,5748529,-1,-1
37,90,5551.0,3466.32,22,6676469,-1,-1
38,50,4307.0,4223.0464,20,3236192,-1,-1
38,60,5678.0,3995.5288,7,3859728,-1,-1
38,70,4616.0,3028.5913,9,4382472,-1,-1
38,80,4480.0,4708.4507,1,4846013,-1,-1
38,90,4370.0,3505.368,21,5518534,-1,-1
39,50,5188.0,3334.859,10,3591222,-1,-1
39,60,5060.0,3439.3354,15,3778651,-1,-1
39,70,5102.0,3974.1206,15,4876510,-1,-1
39,80,5317.0,3817.326,15,5394595,-1,-1
39,90,4391.0,4454.164,17,6087187,-1,-1
40,50,5806.0,3821.0498,13,3543618,-1,-1
40,60,4573.0,3715.402,17,4029199,-1,-1
40,70,4174.0,3463.945,13,4682132,-1,-1
40,80,5026.0,3329.5496,24,4949105,-1,-1
40,90,5361.0,4224.9473,8,5402372,-1,-1
41,50,5219.0,3729.3628,19,2339982,-1,-1
41,60,4701.0,3518.8706,22,3087213,-1,-1
41,70,5298.0,4041.2183,19,3499278,-1,-1
41,80,4582.0,3638.109,10,4388877,-1,-1
41,90,4681.0,3442.056,30,4885074,-1,-1
42,50,4918.0,3048.7922,20,2656372,-1,-1
42,60,5402.0,3702.08,11,3053679,-1,-1
42,70,4472.0,4100.496,8,3911976,-1,-1
42,80,5008.0,3702.8657,23,4606710,-1,-1
42,90,4792.0,3449.7195,27,5639633,-1,-1
43,50,5304.0,3525.1277,15,2403004,-1,-1
43,60,5085.0,3628.0178,12,2848211,-1,-1
43,70,4986.0,3439.1255,22,3159600,-1,-1
43,80,4686.0,3598.7568,13,3843596,-1,-1
43,90,4627.0,3493.925,18,4533900,-1,-1
44,50,4985.0,3705.8481,12,2917693,-1,-1
44,60,4258.0,3393.7969,1,3363072,-1,-1
44,70,5095.0,3141.4053,13,4155936,-1,-1
44,80,4187.0,4145.948,13,4604501,-1,-1
44,90,4574.0,3081.2883,14,5207046,-1,-1
45,50,4910.0,3488.096,18,2844703,-1,-1
45,60,4606.0,3435.921,24,3714745,-1,-1
45,70,5263.0,3584.0535,2,4456047,-1,-1
45,80,5000.0,4091.848,25,5159872,-1,-1
45,90,5212.0,3675.5308,17,5389901,-1,-1
46,50,4381.0,3596.1177,6,2744812,-1,-1
46,60,4387.0,3767.7942,29,3519982,-1,-1
46,70,5220.0,3055.4587,16,4162980,-1,-1
46,80,6657.0,3813.0754,22,4966327,-1,-1
46,90,4684.0,2887.4736,17,5873305,-1,-1
47,50,5335.0,3446.8389,13,2987335,-1,-1
47,60,4742.0,3508.438,28,3627270,-1,-1
47,70,4449.0,3311.344,11,4210164,-1,-1
47,80,4752.0,3579.2717,2,4513278,-1,-1
47,90,4969.0,3691.2192,25,5162860,-1,-1
48,50,5288.0,3298.682,14,3618215,-1,-1
48,60,4728.0,3280.2446,13,4578657,-1,-1
48,70,5297.0,3638.7004,4,5009766,-1,-1
48,80,4689.0,3596.8984,30,5427577,-1,-1
48,90,4793.0,3969.899,13,6223734,-1,-1
49,50,4801.0,3721.2034,24,3303873,-1,-1
49,60,5026.0,3982.3157,17,3567862,-1,-1
49,70,5154.0,3413.4343,21,4391827,-1,-1
49,80,5320.0,3855.2734,16,4827150,-1,-1
49,90,4875.0,3906.7668,3,5390431,-1,-1
50,50,5266.0,3549.3694,3,3324457,-1,-1
50,60,5448.0,4457.435,12,3995386,-1,-1
50,70,4254.0,3213.3958,4,4442419,-1,-1
50,80,4665.0,3849.6492,2,4994133,-1,-1
50,90,5223.0,3856.2874,27,5343274,-1,-1
51,50,5240.0,3852.1584,22,3551725,-1,-1
51,60,4962.0,3516.162,1,4829506,-1,-1
51,70,5117.0,3202.808,21,5216973,-1,-1
51,80,4790.0,3866.799,13,5840517,-1,-1
51,90,5379.0,3492.6147,22,6407297,-1,-1
52,50,5012.0,3482.812,2,3525872,-1,-1
52,60,4667.0,3634.6594,7,4167874,-1,-1
52,70,5124.0,3784.001,3,4523685,-1,-1
52,80,4716.0,3536.3386,26,5017297,-1,-1
52,90,4822.0,3544.253,24,5964851,-1,-1
53,50,5063.0,3644.577,8,2747589,-1,-1
53,60,4895.0,3645.028,7,3193988,-1,-1
